period;cod_cod;cod_id;cod_name;city;stratum;year;semester;school_state;school_city;faculty;program;cod_snies;knowledge_area;shift;age;civil_status;gender;residence_zone;foreign;school_name;school_calendar;school_character;school_language;school_methodology;academic_aid;financial_aid;other_aid;study_and_work;age_mod;cantidad_matriculas;Cluster
2017-01;9772C;10455U;14743N;cali;2;2017;1;valle del cauca;la cumbre;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;nocturna;21;soltero;M;urbana;no;institucion educativa la libertad la cumbre;a;mixto;espanol;educacion tradicional;no;no;no;no;21-25;1;0
2016-03;9053C;10456U;17864N;cali;2;2016;2;valle del cauca;cali;Engineering;ingenieria informatica;20115;ingenieria arquitectura urbanismo y afines;nocturna;20;soltero;F;urbana;no;instituto tecnico industrial pedro antonio molina;a;mixto;espanol:ingles;educacion tradicional;no;si;no;si;15-20;1;1
2016-01;7899C;10457U;3815N;cali;1;2016;1;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;nocturna;19;soltero;F;nd;no;instituto tecnico luz aydee guerrero molina;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;6395C;10459U;15388N;cali;3;2014;2;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;18;soltero;F;nd;no;fundacion colegio parroquial nuestra senora de guadalupe;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;1
2016-01;8515C;10462U;14452N;barbacoas;2;2016;1;narino;barbacoas;Engineering;ingenieria electronica y telecomunicaciones;55170;ingenieria arquitectura urbanismo y afines;diurna;19;soltero;M;nd;no;colegio departamental luis irizar salazar;a;mixto;espanol;educacion tradicional;nd;nd;nd;no;15-20;1;0
2016-01;8010C;10463U;472N;cali;1;2016;1;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;19;soltero;F;nd;no;centro docente liceo marisol;a;mixto;espanol;educacion tradicional;nd;nd;nd;nd;15-20;1;1
2017-01;9447C;10464U;9192N;cali;2;2017;1;valle del cauca;cali;humanities and arts;cine y comunicacion digital;54405;bellas artes;diurna;20;soltero;M;urbana;no;instituto ser internacional cali;a;mixto;espanol;programa para jovenes en extraedad y adultos;no;si;no;si;15-20;1;0
2016-01;8301C;10466U;5239N;cali;1;2016;1;valle del cauca;cali;Engineering;ingenieria informatica;20115;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;M;nd;no;institucion educativa carlos holmes trujillo;a;mixto;espanol:ingles;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2014-03;5987C;10467U;4097N;cali;3;2014;2;valle del cauca;cali;Engineering;ingenieria multimedia;20146;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;F;nd;no;colegio nuestra senora de la anunciacion;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-03;8790C;10468U;8131N;cali;2;2016;2;valle del cauca;cali;Engineering;ingenieria ambiental;53485;ingenieria arquitectura urbanismo y afines;diurna;19;soltero;M;urbana;no;centro de educacion en tecnologia centec;b;mixto;espanol;educacion tradicional;si;no;no;no;15-20;1;1
2018-03;11283C;10469U;17453N;cali;2;2018;2;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;F;urbana;no;institucion educativa santo tomas;a;mixto;espanol;educacion tradicional;no;si;no;no;15-20;1;1
2018-01;11024C;1046U;14825N;popayan;3;2018;1;cauca;popayan;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;urbana;no;instituto tecnico industrial don bosco;a;masculino;espanol;educacion tradicional;no;si;no;no;15-20;1;0
2016-03;9061C;10471U;7744N;cali;2;2016;2;cauca;argelia;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;19;soltero;M;urbana;no;instituto agricola de argelia;a;mixto;espanol;escuela nueva;no;si;no;no;15-20;1;1
2017-03;10108C;10472U;5232N;cali;1;2017;2;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;diurna;19;soltero;M;urbana;no;institucion educativa la anunciacion cali;b;mixto;espanol;educacion tradicional;si;si;no;no;15-20;1;1
2016-01;8072C;10473U;12648N;cali;2;2016;1;valle del cauca;cali;Engineering;ingenieria biomedica;20151;ingenieria arquitectura urbanismo y afines;diurna;18;soltero;F;nd;no;colegio compartir;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
