period;cod_cod;cod_id;cod_name;city;stratum;year;semester;school_state;school_city;faculty;program;cod_snies;knowledge_area;shift;age;civil_status;gender;residence_zone;foreign;school_name;school_calendar;school_character;school_language;school_methodology;academic_aid;financial_aid;other_aid;study_and_work;age_mod;cantidad_matriculas;Cluster
2018-03;11929C;10532U;18627N;cali;3;2018;2;cauca;bolivar;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;diurna;30;union libre;F;urbana;no;colegio departamental andino;a;mixto;espanol:ingles;educacion tradicional;no;no;no;si;26-40;1;1
2012-03;3392C;10533U;12900N;cali;4;2012;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;23;soltero;M;nd;no;colegio san antonio maria claret;b;masculino;nd;nd;nd;nd;nd;nd;21-25;1;0
2011-03;2537C;10534U;1905N;cali;1;2011;2;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;22;soltero;F;nd;nd;colegio parroquial san pablo apostol;b;mixto;nd;nd;nd;nd;nd;nd;21-25;1;1
2012-03;3419C;10535U;5270N;cali;3;2012;2;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;nocturna;23;soltero;M;nd;no;instituto tecnico industrial donald rodrigo tafur gonzalez;b;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2011-03;2824C;10536U;17436N;cali;3;2011;2;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;nocturna;22;soltero;F;nd;no;instituto gran colombia;b;mixto;nd;nd;nd;nd;nd;nd;21-25;1;1
2009-03;848C;10537U;5958N;cali;5;2009;2;valle del cauca;cali;Engineering;ingenieria biomedica;20151;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;F;nd;no;instituto ser internacional cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2013-01;4523C;10538U;11500N;cali;4;2013;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;nocturna;24;casado;F;nd;no;colegio miguel camacho perea;b;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2009-03;963C;10539U;10933N;cali;4;2009;2;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;nocturna;20;soltero;M;nd;no;colegio los andes cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2018-03;11417C;1053U;10342N;popayan;3;2018;2;cauca;popayan;Engineering;ingenieria mecatronica;20104;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;urbana;no;colegio tecnico comfacauca;b;mixto;espanol;educacion tradicional;no;no;no;no;15-20;1;0
2013-03;4676C;10542U;14425N;jamundi;2;2013;2;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;nocturna;24;soltero;F;nd;no;institucion educativa el hormiguero;b;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2011-03;2607C;10543U;14744N;cali;5;2011;2;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;diurna;22;soltero;M;nd;nd;colegio coomeva;a;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
